timestamp,src_ip,dst_ip,attack 
1773485495.1917362,192.168.1.34,34.49.39.67,DoS
1773485495.2179902,192.168.1.34,34.49.39.67,DoS
1773485495.2445898,192.168.1.34,104.18.32.47,DoS
1773485495.7284212,192.168.1.34,142.250.206.99,DoS
1773485495.8948638,192.168.1.34,20.44.10.123,DoS
1773485495.91979,192.168.1.34,20.44.10.123,DoS
1773485495.9500363,192.168.1.34,20.44.10.123,DoS
1773485496.1055763,192.168.1.34,104.18.32.47,DoS
1773485496.1768837,192.168.1.34,192.178.211.84,DoS
1773485496.200664,192.168.1.34,192.178.211.84,DoS
1773485496.2268326,192.168.1.34,104.18.32.47,DoS
1773485496.5445673,192.168.1.34,192.178.211.84,DoS
1773485496.5754452,192.168.1.34,192.178.211.84,DoS
1773485496.614099,192.168.1.34,192.178.211.84,DoS
1773485496.845399,192.168.1.34,20.44.10.123,DoS
1773485496.8727953,192.168.1.34,20.44.10.123,DoS
1773485496.901462,192.168.1.34,20.44.10.123,DoS
1773485496.9303858,192.168.1.34,20.44.10.123,DoS
1773485496.96067,192.168.1.34,20.44.10.123,DoS
1773485496.9968247,192.168.1.34,20.44.10.123,DoS
1773485497.079656,192.168.1.34,192.178.211.84,DoS
1773485497.1035979,192.168.1.34,20.44.10.123,DoS
1773485497.129834,192.168.1.34,192.178.211.84,DoS
1773485497.1575086,192.168.1.34,192.178.211.84,DoS
1773485497.186308,192.168.1.34,192.178.211.84,DoS
1773485497.209951,192.168.1.34,192.178.211.84,DoS
1773485497.2352386,192.168.1.34,192.178.211.84,DoS
1773485497.3419409,192.168.1.34,192.178.211.84,DoS
1773485497.389892,192.168.1.34,192.178.211.84,DoS
1773485497.4981685,192.168.1.34,192.178.211.84,DoS
1773485497.5217905,192.168.1.34,192.178.211.84,DoS
1773485497.548207,192.168.1.34,192.178.211.84,DoS
1773485497.5769155,192.168.1.34,192.178.211.84,DoS
1773485497.876935,192.168.1.34,20.44.10.123,DoS
1773485498.0990627,192.168.1.34,20.44.10.123,DoS
1773485498.2456138,192.168.1.34,20.44.10.123,DoS
1773485498.2689016,192.168.1.34,20.44.10.123,DoS
1773485619.7747397,192.168.1.34,104.18.39.21,DoS
1773485619.8005521,192.168.1.34,104.18.32.47,DoS
1773485619.8257089,192.168.1.34,104.18.32.47,DoS
1773485620.1161582,192.168.1.34,104.18.32.47,DoS
1773485620.2421026,192.168.1.34,34.139.124.58,DoS
1773485620.266032,192.168.1.34,34.139.124.58,DoS
1773485620.3134885,192.168.1.34,104.18.39.21,DoS
1773485620.3385475,192.168.1.34,52.168.117.169,DoS
1773485620.5292137,192.168.1.34,104.18.32.47,DoS
1773485620.5549352,192.168.1.34,104.18.32.47,DoS
1773485620.577757,192.168.1.34,104.18.32.47,DoS
1773485620.6059017,192.168.1.34,104.18.32.47,DoS
1773485620.797107,192.168.1.34,162.159.134.234,DoS
1773485620.8198743,192.168.1.34,104.18.39.21,DoS
1773485620.8636284,192.168.1.34,20.192.44.82,DoS
1773485620.92662,192.168.1.34,104.18.39.21,DoS
1773485621.5374167,192.168.1.34,52.168.117.169,DoS
1773485621.5716398,192.168.1.34,52.168.117.169,DoS
1773485621.7283437,192.168.1.34,34.139.124.58,DoS
1773485622.0171356,192.168.1.34,34.139.124.58,DoS
1773485622.0395334,192.168.1.34,34.139.124.58,DoS
1773485622.2417483,192.168.1.34,34.139.124.58,DoS
1773485622.2658136,192.168.1.34,34.139.124.58,DoS
1773485622.3099873,192.168.1.34,52.168.117.169,DoS
1773485623.7046247,192.168.1.34,52.168.117.169,DoS
1773485623.7378242,192.168.1.34,52.168.117.169,DoS
1773485623.7926834,192.168.1.34,34.139.124.58,DoS
1773485623.823258,192.168.1.34,34.139.124.58,DoS
1773485624.011675,192.168.1.34,52.168.117.169,DoS
1773485624.0555465,192.168.1.34,34.139.124.58,DoS
1773485624.1187518,192.168.1.34,34.139.124.58,DoS
1773485624.23776,192.168.1.34,52.168.117.169,DoS
1773485625.8601594,192.168.1.34,52.168.117.169,DoS
1773485625.897414,192.168.1.34,52.168.117.169,DoS
1773485625.9691393,192.168.1.34,34.139.124.58,DoS
1773485626.0107126,192.168.1.34,34.139.124.58,DoS
1773485626.2655776,192.168.1.34,52.168.117.169,DoS
1773485626.4486763,192.168.1.34,34.139.124.58,DoS
1773485626.4810498,192.168.1.34,34.139.124.58,DoS
1773485626.5032513,192.168.1.34,20.192.44.82,DoS
1773485627.9985807,192.168.1.34,52.168.117.169,DoS
1773485628.025475,192.168.1.34,52.168.117.169,DoS
1773485628.0965202,192.168.1.34,162.159.134.234,DoS
1773485628.1508427,192.168.1.34,34.139.124.58,DoS
1773485628.362138,192.168.1.34,52.168.117.169,DoS
1773485628.449713,192.168.1.34,34.139.124.58,DoS
1773485628.4715025,192.168.1.34,34.139.124.58,DoS
1773485628.4978116,192.168.1.34,162.159.134.234,DoS
1773485628.7065153,192.168.1.34,34.139.124.58,DoS
1773485628.7277043,192.168.1.34,34.139.124.58,DoS
1773485629.2470965,192.168.1.34,104.18.39.21,DoS
1773485629.5724254,192.168.1.34,4.213.25.241,DoS
1773485629.6128361,192.168.1.34,4.213.25.241,DoS
1773485630.1536086,192.168.1.34,52.168.117.169,DoS
1773485630.176402,192.168.1.34,52.168.117.169,DoS
1773485630.2804534,192.168.1.34,34.139.124.58,DoS
1773485630.301573,192.168.1.34,34.139.124.58,DoS
1773485630.484393,192.168.1.34,52.168.117.169,DoS
1773485630.6072502,192.168.1.34,34.139.124.58,DoS
1773485630.6252048,192.168.1.34,34.139.124.58,DoS
1773485630.9362147,192.168.1.34,20.192.44.82,DoS
1773485632.147524,192.168.1.34,104.199.241.202,DoS
1773485632.3102322,192.168.1.34,52.168.117.169,DoS
1773485632.3347118,192.168.1.34,52.168.117.169,DoS
1773485632.3572502,192.168.1.34,52.168.117.169,DoS
1773485632.3813992,192.168.1.34,104.199.241.202,DoS
1773485632.423557,192.168.1.34,34.139.124.58,DoS
1773485632.4469953,192.168.1.34,34.139.124.58,DoS
1773485632.4700086,192.168.1.34,142.251.222.110,DoS
1773485632.494728,192.168.1.34,142.251.222.110,DoS
1773485632.534985,192.168.1.34,142.251.222.110,DoS
1773485632.7971065,192.168.1.34,34.139.124.58,DoS
1773485632.8144817,192.168.1.34,142.251.222.110,DoS
1773485632.8355203,192.168.1.34,34.139.124.58,DoS
1773485632.8718214,192.168.1.34,52.168.117.169,DoS
1773485632.891684,192.168.1.34,142.251.222.110,DoS
1773485633.144924,192.168.1.34,52.123.164.85,DoS
1773485633.2576978,192.168.1.34,52.123.164.85,DoS
1773485633.755852,192.168.1.34,162.159.134.234,DoS
1773485633.976078,192.168.1.34,162.159.134.234,DoS
1773485634.5529845,192.168.1.34,34.139.124.58,DoS
1773485634.7355077,192.168.1.34,52.168.117.169,DoS
1773485634.7583017,192.168.1.34,52.168.117.169,DoS
1773485634.8750525,192.168.1.34,34.139.124.58,DoS
1773485634.8911946,192.168.1.34,34.139.124.58,DoS
1773485635.0528314,192.168.1.34,52.168.117.169,DoS
1773506868.950306,192.168.1.34,172.64.155.209,Normal
1773506868.9722276,172.64.155.209,192.168.1.34,Normal
1773506869.2316415,192.168.1.34,239.255.255.250,Normal
1773506870.1933672,34.139.124.58,192.168.1.34,Normal
